tag_id,name,category,count
380831,demon_tail,0,25882
1441885,semi-rimless_eyewear,0,25828
670638,clothes_writing,0,25774
15672,veil,0,25761
462808,tareme,0,25692
488133,no_hat,0,25564
1302826,mole_under_mouth,0,25557
5855,couch,0,25339
477288,white_ribbon,0,25335
410734,carrying,0,25312
4241,rope,0,25269
146061,baseball_cap,0,25214
368,dog_ears,0,25098
602295,hair_over_shoulder,0,25086
374845,mary_janes,0,25065
556132,tied_hair,0,25050
554980,motor_vehicle,0,24996
468477,arms_behind_head,0,24991
1008243,holding_gun,0,24966
4172,corset,0,24898
643253,web_address,0,24782
4010,halo,0,24779
549225,single_horn,0,24661
1585391,abyssal_ship,0,24627
382270,rifle,0,24268
389814,side_braid,0,24226
12308,shameimaru_aya,4,24213
389402,upskirt,0,24199
407678,wolf_tail,0,24152
15689,:p,0,23992
479729,gem,0,23985
475152,k-on!,3,23977
4536,tsurime,0,23976
392810,vertical_stripes,0,23962
422340,full_moon,0,23871
11410,claws,0,23760
1865,bandaid,0,23716
2102,snow,0,23709
10902,close-up,0,23582
429369,finger_to_mouth,0,23503
77257,strap_slip,0,23493
635786,index_finger_raised,0,23434
1281370,red_bowtie,0,23259
465046,cat_girl,0,23255
15260,beard,0,23180
674623,feathered_wings,0,23164
593298,yellow_background,0,23139
12307,fujiwara_no_mokou,4,22988
704500,holding_cup,0,22985
320292,cloak,0,22973
427142,komeiji_koishi,4,22920
455456,santa_hat,0,22884
428523,hooded_jacket,0,22884
457883,string_bikini,0,22842
375764,bara,0,22818
516211,tassel,0,22792
665452,facing_viewer,0,22758
4530,gift,0,22753
11485,persona,3,22751
390596,purple_dress,0,22710
631529,white_apron,0,22647
2863,broom,0,22604
410328,hands,0,22565
448477,buckle,0,22555
635112,light_particles,0,22543
396969,seiza,0,22519
379725,dual_persona,0,22490
510802,french_braid,0,22477
1487578,danganronpa_(series),3,22476
1364406,genderswap_(mtf),0,22456
11374,hong_meiling,4,22446
471755,machinery,0,22375
527593,lyrical_nanoha,3,22335
1316316,pelvic_curtain,0,22320
12304,reisen_udongein_inaba,4,22294
382111,breast_hold,0,22280
390257,eye_contact,0,22230
645083,smartphone,0,22181
665184,ribbed_sweater,0,22154
3474,portrait,0,22145
655303,fox_girl,0,22142
535373,cross-laced_footwear,0,22067
592924,akemi_homura,4,22020
10905,pendant,0,21985
478557,straight_hair,0,21971
11813,lens_flare,0,21937
668635,pom_pom_(clothes),0,21908
467811,knees_up,0,21892
467493,handgun,0,21880
375519,armlet,0,21864
379489,side_slit,0,21803
491144,blue_bikini,0,21801
149598,androgynous,0,21776
396680,personification,0,21761
1416353,red_headwear,0,21678
1314596,black_leotard,0,21671
515769,black_nails,0,21634
593296,red_background,0,21580
685432,two-tone_background,0,21539
393879,alcohol,0,21480
